iter	RMSE
237	6733.502314
238	6697.932596
239	6662.716888
240	6617.073027
241	6584.349576
242	6552.604807
243	6543.306734
244	6503.253474
245	6478.525988
246	6468.790186
247	6436.621362
248	6405.205701
249	6396.693428
250	6342.686783
251	6301.923719
252	6292.794472
253	6264.932732
254	6256.611025
255	6229.112591
256	6201.533433
257	6175.5087
258	6133.616067
259	6101.141699
260	6067.745086
261	6045.967708
262	6024.349509
263	6016.615108
264	5980.618604
265	5967.758921
266	5940.670416
267	5933.493763
268	5926.246001
269	5878.905645
270	5853.685073
271	5830.422967
272	5803.263135
273	5780.55976
274	5773.708196
275	5749.366461
276	5714.468159
277	5690.481791
278	5658.11397
279	5628.801745
280	5593.413784
281	5562.547997
282	5555.769046
283	5532.972237
284	5492.797328
285	5459.017914
286	5433.073336
287	5388.880449
288	5361.566799
289	5338.772324
290	5320.853727
291	5285.483557
292	5279.118237
293	5247.426202
294	5216.45692
295	5197.894406
296	5178.333838
297	5172.016603
298	5166.015974
299	5160.174224
300	5136.854918
301	5100.846029
302	5085.197553
303	5061.215545
304	5055.767916
305	5031.631943
306	5005.998881
307	4977.973472
308	4958.233572
309	4931.173886
310	4906.237604
311	4901.111789
312	4876.002137
313	4853.278089
314	4848.457236
315	4830.127127
316	4825.799174
317	4802.286737
318	4784.554736
319	4767.280268
320	4742.19822
321	4725.240951
322	4715.255548
323	4695.515772
324	4675.774236
325	4649.73056
326	4631.284116
327	4615.189458
328	4593.6329
329	4589.115622
330	4563.792067
331	4546.885578
332	4542.536129
333	4523.588166
334	4505.394813
335	4486.408212
336	4471.291046
337	4456.307834
338	4436.703246
339	4412.514234
340	4401.905112
341	4397.757376
342	4382.210385
343	4378.220548
344	4374.041023
345	4358.161531
346	4345.802196
347	4324.184173
348	4301.299182
349	4283.074212
350	4260.860709
351	4244.551081
352	4225.067243
353	4221.28094
354	4202.462047
355	4198.739397
356	4182.535768
357	4165.898867
358	4162.754248
359	4145.91061
360	4123.765226
361	4111.359789
362	4107.833259
363	4089.675016
364	4086.358893
365	4071.532046
366	4056.300188
367	4052.918324
368	4035.761364
369	4016.450989
370	4013.136169
371	3996.223526
372	3992.943764
373	3971.157445
374	3955.642623
375	3943.422045
376	3921.824802
377	3908.96251
378	3887.079818
379	3868.896415
380	3854.901768
381	3846.756201
382	3843.627003
383	3829.985682
384	3818.604175
385	3807.362427
386	3804.285315
387	3800.926493
388	3791.454162
389	3777.878207
390	3764.930455
391	3749.821885
392	3740.828524
393	3731.046856
394	3715.170569
395	3705.32397
396	3683.32527
397	3670.049343
398	3660.704845
399	3646.152009
400	3633.181015
401	3621.53298
402	3612.956504
403	3604.565035
404	3595.648605
405	3573.532137
406	3558.872519
407	3549.216017
408	3535.479011
409	3527.021498
410	3516.763366
411	3503.51414
412	3492.636136
413	3479.832094
414	3466.275836
415	3446.991547
416	3436.726479
417	3424.267198
418	3413.453654
419	3400.087671
420	3391.202251
421	3388.772682
422	3381.829312
423	3366.4121
424	3363.478861
425	3354.839477
426	3349.130116
427	3343.028679
428	3324.059782
429	3307.471658
430	3295.62207
431	3293.154316
432	3281.409544
433	3266.843134
434	3254.680959
435	3252.420247
436	3243.173943
437	3230.613634
438	3222.158081
439	3208.588195
440	3193.130973
441	3186.683029
442	3175.388125
443	3167.058064
444	3164.88802
445	3153.787331
446	3151.662515
447	3141.189668
448	3138.801194
449	3123.132858
450	3114.42713
451	3103.466222
452	3095.136152
453	3093.099513
454	3085.33043
455	3069.437796
456	3067.313831
457	3061.739254
458	3047.128922
459	3031.753669
460	3018.892607
461	3007.107193
462	3003.181256
463	2996.765772
464	2986.879145
465	2981.62479
466	2979.013104
467	2968.623771
468	2960.429128
469	2952.402157
470	2948.010679
471	2946.045702
472	2941.871544
473	2926.872097
474	2917.554604
475	2912.195222
476	2905.548832
477	2897.536645
478	2882.64709
479	2876.831665
480	2865.365209
481	2856.429335
482	2850.937574
483	2844.475199
484	2833.408965
485	2826.099626
486	2823.600302
487	2814.652953
488	2806.003491
489	2800.33173
490	2785.084151
491	2776.592844
492	2771.206717
493	2761.670964
494	2750.448841
495	2743.332597
496	2741.229868
497	2733.401642
498	2728.865084
499	2727.160313
500	2714.176142
501	2707.533783
502	2700.365519
503	2695.862279
504	2690.995734
505	2682.265308
506	2677.888728
507	2672.674497
508	2664.554644
509	2656.811084
510	2647.880824
511	2640.601796
512	2638.98604
513	2633.392389
514	2631.799868
515	2630.135702
516	2628.494674
517	2614.539999
518	2608.221688
519	2590.638091
520	2586.135503
521	2579.130408
522	2576.336785
523	2572.61095
524	2565.895472
525	2556.294237
526	2554.441963
527	2547.976763
528	2536.900539
529	2523.965296
530	2521.676434
531	2515.30492
532	2505.301187
533	2491.350051
534	2487.079383
535	2477.616848
536	2476.15661
537	2470.961263
538	2456.432744
539	2450.142324
540	2437.812761
541	2432.569993
542	2427.858033
543	2425.514934
544	2419.302951
545	2417.907891
546	2410.006072
547	2396.326265
548	2384.86537
549	2379.39411
550	2377.886001
551	2364.304582
552	2359.218389
553	2352.175118
554	2347.920225
555	2336.240445
556	2330.631969
557	2329.194428
558	2319.109471
559	2315.351358
560	2305.151282
561	2302.82932
562	2294.403603
563	2284.246006
564	2273.567341
565	2266.244698
566	2255.274445
567	2252.119073
568	2246.08792
569	2241.416786
570	2239.490621
571	2231.259364
572	2229.71425
573	2228.388128
574	2226.417955
575	2224.067418
576	2219.916109
577	2215.959654
578	2207.94076
579	2206.780159
580	2202.978188
581	2197.636475
582	2187.376904
583	2177.21751
584	2173.607104
585	2168.810817
586	2164.409605
587	2163.262733
588	2156.29762
589	2146.3107
590	2145.107189
591	2142.821307
592	2139.612753
593	2134.330269
594	2132.616616
595	2129.557952
596	2127.834946
597	2120.239369
598	2110.727675
599	2109.528935
600	2106.60888
601	2103.489288
602	2098.482926
603	2095.641592
604	2083.937837
605	2079.955879
606	2077.597454
607	2068.830938
608	2064.870187
609	2063.348127
610	2059.932385
611	2051.481174
612	2045.850145
613	2040.475871
614	2032.736545
615	2027.801031
616	2023.495487
617	2017.992049
618	2014.598622
619	2005.293945
620	1999.010112
621	1992.220795
622	1989.109841
623	1983.840431
624	1970.997045
625	1969.525108
626	1960.418987
627	1957.455927
628	1953.168
629	1951.070264
630	1945.50158
631	1939.070337
632	1934.663841
633	1933.666418
634	1925.097621
635	1920.562427
636	1912.937972
637	1904.645931
638	1902.566279
639	1900.13178
640	1894.509406
641	1885.907913
642	1883.446292
643	1876.459368
644	1872.891105
645	1871.828946
646	1867.211716
647	1860.675285
648	1858.169861
649	1855.69456
650	1850.256849
651	1845.365896
652	1842.935612
653	1837.894365
654	1832.331864
655	1828.677277
656	1823.356085
657	1819.397716
658	1816.304776
659	1808.357516
660	1802.515199
661	1794.115494
662	1793.178119
663	1787.948206
664	1783.838844
665	1780.393355
666	1776.524637
667	1773.604163
668	1766.094243
669	1758.136484
670	1751.608353
671	1746.916549
672	1738.339638
673	1731.703054
674	1724.773075
675	1718.082627
676	1715.429326
677	1711.037164
678	1703.261232
679	1699.790075
680	1697.044083
681	1693.038444
682	1690.249802
683	1679.283388
684	1675.081129
685	1669.973814
686	1669.050658
687	1665.937735
688	1665.115346
689	1663.036843
690	1657.947421
691	1657.160066
692	1653.9861
693	1650.096811
694	1649.434518
695	1642.355798
696	1634.102539
697	1633.331027
698	1624.236411
699	1621.648372
700	1615.134368
701	1611.510826
702	1610.74863
703	1601.012813
704	1594.437502
705	1586.047748
706	1582.210117
707	1580.268831
708	1577.062375
709	1574.410824
710	1568.349306
711	1567.630057
712	1566.910971
713	1562.512279
714	1558.876698
715	1556.512732
716	1549.136806
717	1543.346438
718	1540.447549
719	1536.736939
720	1530.807846
721	1526.807528
722	1521.650461
723	1511.590813
724	1510.864331
725	1507.789656
726	1501.305272
727	1499.02113
728	1493.046839
729	1491.91956
730	1488.468152
731	1483.259789
732	1479.946035
733	1477.155682
734	1476.442736
735	1474.404201
736	1465.719971
737	1459.553609
738	1454.438525
739	1453.775303
740	1452.012354
741	1446.680355
742	1441.794834
743	1439.587719
744	1432.304398
745	1429.492894
746	1424.620302
747	1424.06117
748	1423.350612
749	1421.374579
750	1417.529366
751	1409.538507
752	1404.82164
753	1401.602659
754	1397.272977
755	1392.065341
756	1388.430023
757	1383.3899
758	1382.191725
759	1378.878685
760	1376.640536
761	1373.638349
762	1367.005619
763	1363.998596
764	1361.646535
765	1354.749092
766	1354.096482
767	1346.557121
768	1344.708332
769	1338.36563
770	1337.723689
771	1332.303991
772	1329.359446
773	1321.972993
774	1319.062402
775	1316.534621
776	1313.702966
777	1311.009278
778	1307.13889
779	1301.473959
780	1297.35379
781	1296.719079
782	1295.516983
783	1294.243888
784	1291.795467
785	1290.261317
786	1282.996224
787	1278.355864
788	1277.671511
789	1277.046014
790	1274.345507
791	1273.459434
792	1272.877068
793	1272.293994
794	1266.983014
795	1261.958779
796	1256.725928
797	1253.549533
798	1249.512424
799	1244.785208
800	1244.223867
801	1237.896799
802	1234.860318
803	1233.297418
804	1230.852752
805	1223.360872
806	1222.734515
807	1222.192217
808	1219.096402
809	1217.439777
810	1213.93971
811	1207.630081
812	1205.991608
813	1201.288242
814	1200.276882
815	1199.743168
816	1199.205928
817	1197.904125
818	1191.680542
819	1189.935717
820	1185.800488
821	1185.228596
822	1180.747575
823	1175.967249
824	1175.38785
825	1173.41267
826	1172.874453
827	1172.40304
828	1167.699125
829	1165.476968
830	1160.730643
831	1158.297893
832	1156.112615
833	1151.814427
834	1150.66794
835	1150.190585
836	1145.779096
837	1142.33555
838	1138.458411
839	1132.600477
840	1132.117848
841	1126.85793
842	1125.012908
843	1120.241532
844	1115.799461
845	1114.802242
846	1111.632293
847	1108.234335
848	1102.170541
849	1099.509899
850	1097.701548
851	1093.409584
852	1092.133708
853	1089.772799
854	1087.695518
855	1087.241467
856	1085.121845
857	1084.700213
858	1081.294627
859	1077.273874
860	1076.241828
861	1074.433389
862	1072.253863
863	1069.768066
864	1069.285641
865	1068.904003
866	1064.445003
867	1060.233894
868	1055.062101
869	1048.991308
870	1046.406031
871	1040.091491
872	1036.860494
873	1036.358929
874	1035.47844
875	1030.93623
876	1026.196944
877	1024.556248
878	1020.894369
879	1018.84906
880	1014.812162
881	1011.964813
882	1011.514326
883	1011.042159
884	1008.685752
885	1007.923903
886	1007.043788
887	1002.343984
888	1001.898482
889	998.1075113
890	997.6235787
891	995.8006488
892	995.0537783
893	992.1525994
894	990.5565269
895	988.8057674
896	986.5959698
897	984.3962515
898	983.6753627
899	982.0515095
900	980.1230636
901	978.668906
902	975.5839249
903	973.7157192
904	973.2740662
905	971.8035075
906	971.3798039
907	969.8549345
908	967.8150587
909	967.2880499
910	962.8035742
911	962.196975
912	958.5599445
913	957.0719819
914	954.0199284
915	952.5445123
916	950.2528769
917	945.9940817
918	944.9692823
919	940.1199002
920	935.5040805
921	933.9350324
922	933.5191442
923	932.9954917
924	930.0638064
925	927.1458378
926	923.2758004
927	921.6603384
928	916.7700979
929	916.2844748
930	914.4427472
931	911.5521038
932	911.0915528
933	910.207249
934	906.6733136
935	906.2895309
936	903.5123758
937	899.3547018
938	898.5981699
939	895.1068847
940	890.6798458
941	889.4493265
942	889.1043869
943	885.7138401
944	885.3118588
945	884.9172063
946	881.5935175
947	878.0474251
948	873.0482942
949	872.6683485
950	868.3079852
951	865.7553607
952	863.1557153
953	860.8103498
954	857.5843085
955	854.406973
956	853.3064837
957	849.7898776
958	849.4232398
959	847.9485538
960	847.6009499
961	844.8777854
962	844.5133337
963	842.6562622
964	839.8800154
965	836.3710378
966	833.6258157
967	831.1361328
968	829.6606263
969	829.301609
970	827.9338662
971	827.5884607
972	827.247655
973	826.8904375
974	822.7266716
975	818.957195
976	818.5476048
977	816.6535771
978	815.7070275
979	814.5301413
980	813.571448
981	812.4503335
982	810.0199788
983	809.7146969
984	807.4321001
985	806.7103334
986	805.8472785
987	804.4138743
988	802.641195
989	802.3893172
990	799.2905858
991	797.4460002
992	796.796836
993	794.9202596
994	793.7001692
995	792.1728533
996	791.7743879
997	790.4246435
998	788.1500433
999	787.8552521

739149
