,Unnamed: 0,ID_number,Number_of_rooms,Metro,Address,Residental_space,House,Parking,Price,Description,Repair,Balcony,Windows,Bathroom_toilet,Children_pets allowed,Additionally,Name_of_residental,Height_of_ceilings,Elevator,Garbage_chute,Description_length
2114,2114,200367390,"2, Изолированная",м. Строгино (23 мин пешком),"Москва, Неманский проезд, 1к1",54.0/32.0/9.0,6/17,,58000,"Все необходимое для комфортного проживания.Семья строго, можно с ребенком.Окна во двор.имеется вся бытовая техника, включая посудомоечную машину., 31 фото",Евроремонт,Балкон (1),Во двор,Совмещенный (1),,"Мебель в комнатах, Мебель на кухне, Стиральная машина, Посудомоечная машина, Холодильник",,2.64,"Пасс (1), Груз (1)",Да,154
7411,7411,273848690,1,м. Коньково (8 мин пешком),"Москва, улица Введенского, 32",39.0/20.0/10.0,"3/22, Панельный",,43000,"Светлая, просторная квартира с качественным ремонтом, в шаговой доступности от м Коньково и м Беляево. Пол - плитка, ламинат. Стеклопакеты. Кухонный гарнитур под единой столешницей. В комнате - шкаф-купе, диван, стол, стеллаж. Из техники в квартире - телевизор, кондиционер, стиральная машина, холодильник. Сан/узел раздельный, Евростандарт. Застекленная лоджия. Дом возле Большого Коньковского пруда., 17 фото",Косметический,Лоджия (1),Во двор,Раздельный (1),Можно с детьми,"Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Кондиционер, Телевизор, Холодильник, Интернет",,2.64,Пасс (2),Да,410
18948,18948,274859429,"2, Изолированная",м. Марьина роща (6 мин пешком),"Москва, Октябрьская улица, 105",54.0/33.0/9.5,"2/16, Панельный",,50000,"Комнаты изолированные. Стеклопакеты. Балкон застекленный. В квартире есть все необходимое. Фото соответствуют. Хорошие собственники. Свет и вода по счётчикам., 17 фото",Косметический,Балкон (1),Во двор,,Можно с детьми,"Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Телевизор, Холодильник, Интернет",,2.64,Пасс (2),Да,167
